store_code,id,quantity,availability,pickup_method,pickup_sla,product_name
1010,c272,0,in stock,buy,next_day,9 Litre (2.5g) Class AC Deionized Water Mist Extinguisher - Amerex C272
1010,tfs1100,1,in stock,buy,same_day,"Happy Tree (6 Pack) 1/2"" IPS Fire Sprinkler Head Guard Cover Red for Pendent & Upright & Horizontal Sidewall Head - Double Hook Fire Sprinkler Head "
1010,b417tx,10,in stock,buy,same_day,2.5lb Fire Extinguisher - Amerex B417TX ABC Multi Purpose w/ Vehicle Bracket
1010,b385tsx,2,in stock,buy,same_day,Amerex B385TSX - 2.5lb Halotron1 - Class B C Fire Extinguisher
1010,a384t,2,in stock,buy,same_day,"Amerex A384T, 1.4lb Halotron I Class B C Fire Extinguisher"
1010,wfd25n,0,in stock,buy,next_day,"Safe Signal WFD25N 2.5"" Waterflow Detector"
1010,b500x4,10,in stock,buy,same_day,Amerex B500X - 5lb ABC Multi-Purpose Fire Extinguisher - 4 Pack
1010,plug-b-250cl-pl,1,in stock,buy,same_day,"2.5"" Threaded Brass Plug"
1010,bl-10b-24vdc-1382,20,in stock,buy,same_day,"Mircom BL-10B - 24VDC 10"" Fire Alarm Bell"
1010,18877,0,in stock,buy,next_day,Emergency Fire Blanket | For Fire Suppression & Burn Victim Protection
